id,day,words,links
693,693,"[""ENERGY"",""ZIP"",""TIFF"",""ROW"",""PIE"",""CAKE"",""COVER"",""PAGE""]","[""OOMPH"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT"",""HOMOPHONES OF GREEK LETTERS"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”"",""PARTS OF A BOOK""]"
694,694,"[""ASTER"",""CARPENTER"",""FIRE"",""WATER"",""LEAD"",""GUIDE"",""DIRECT"",""RUN""]","[""HORROR DIRECTORS"",""___ ANT"",""CLASSICAL ELEMENTS"",""___ BALLOON"",""HELM"",""SHEPHERD"",""PRESIDE OVER""]"
695,695,"[""JAWBREAKER"",""ORANGE"",""LEMON"",""DUD"",""BORE"",""SNOOZE"",""HOT"",""HIP""]","[""SPHERICAL FOODS"",""FRUIT"",""FAILURE"",""PARTY POOPER"",""SOMETHING TIRESOME"",""___ BUTTON"",""FASHIONABLE""]"
696,696,"[""CAPSULE"",""CREAM"",""STRING"",""TRAIN"",""RING"",""SAW"",""GEAR"",""HANDLEBAR""]","[""MEDICINE FORMATS"",""___ CHEESE"",""SEQUENCE"",""BRIDAL ACCESSORIES"",""HORROR FRANCHISES"",""THINGS WITH TEETH"",""BIKE PARTS""]"
697,697,"[""AIR"",""WATER"",""LEAD"",""GUIDE"",""DIRECT"",""RUN"",""SPLIT"",""GLASS""]","[""CLASSICAL ELEMENTS"",""___ BALLOON"",""HELM"",""SHEPHERD"",""PRESIDE OVER"",""DEPART QUICKLY"",""M. NIGHT SHYAMALAN MOVIES""]"
698,698,"[""HUM"",""SING"",""RAT"",""CANARY"",""BANANA"",""MANGO"",""MINT"",""FOREST""]","[""CARRY A TUNE"",""TATTLE"",""STOOL PIGEON"",""THINGS THAT ARE YELLOW"",""TROPICAL FRUITS"",""CHUTNEY VARIETIES"",""SHADES OF GREEN""]"
699,699,"[""GRAZE"",""PECK"",""X"",""TICK"",""SPIDER"",""SUPER"",""AWFUL"",""REAL""]","[""EAT A LITTLE"",""KISS"",""SELECT, AS A BOX ON A FORM"",""ARACHNIDS"",""___ MAN SUPERHEROES"",""EXTREMELY"",""ADJECTIVE INTENSIFIERS""]"
700,700,"[""GLUE"",""GUM"",""CHOCOLATE"",""HEART"",""KIDNEY"",""LIMA"",""POLISH"",""FILE""]","[""THINGS THAT ARE “STICKY”"",""CANDY STORE TREATS"",""SEEN ON VALENTINE’S DAY"",""ORGANS"",""BEANS"",""WORDS WITH TWO PRONUNCIATIONS"",""MANICURE STEPS""]"
701,701,"[""CLOSE"",""BACON"",""TOMATO"",""CUCUMBER"",""CORN"",""BEET"",""CARDINAL"",""SWIFT""]","[""PAINTERS"",""B.L.T. INGREDIENTS"",""VEGETABLES THAT ARE ALSO FRUITS"",""CROPS"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS""]"
702,702,"[""CABIN"",""NOSE"",""EYE"",""CROOK"",""SHARK"",""PERCH"",""LAND"",""SECURE""]","[""PARTS OF AN AIRPLANE"",""FACIAL FEATURES"",""EGYPTIAN SYMBOLS"",""SWINDLER"",""FISH"",""COME DOWN TO REST"",""OBTAIN""]"
703,703,"[""FINS"",""TANK"",""TEE"",""PEN"",""QUART"",""CUP"",""LID"",""COVER""]","[""SCUBA GEAR"",""TOPS"",""COMMON SWAG ITEMS"",""STARTS OF U.S. COINS"",""UNITS OF VOLUME"",""COFFEE COUNTER ITEMS"",""COVERINGS""]"
704,704,"[""HEM"",""DARN"",""SHOOT"",""PAPER"",""DOUGH"",""COUGH"",""CORN"",""BEET""]","[""USE A NEEDLE AND THREAD"",""“PHOOEY!”"",""ROCK PAPER SCISSORS"",""SLANG FOR MONEY"",""”-OUGH” WORDS THAT DON’T RHYME"",""___ SYRUP"",""VEGETABLES""]"
705,705,"[""BOLT"",""ZIP"",""TIFF"",""ROW"",""PIE"",""CAKE"",""COVER"",""PAGE""]","[""MOVE QUICKLY"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT"",""HOMOPHONES OF GREEK LETTERS"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”"",""PARTS OF A BOOK""]"
706,706,"[""PLOT"",""TRICK"",""CON"",""HUSTLE"",""SWING"",""SLIDE"",""PUMP"",""BOOT""]","[""SCHEME"",""DECEIVE"",""SCAM"",""DANCES"",""PLAYGROUND FIXTURES"",""SHOES"",""FOOTWEAR""]"
707,707,"[""OYSTER"",""PLUM"",""GREEN"",""ICE"",""SUGAR"",""BOO"",""TOM"",""BULL""]","[""SAUCES IN CHINESE CUISINE"",""CLUE CHARACTERS"",""___LAND"",""CUBE-SHAPED"",""TERMS OF ENDEARMENT"",""___-___"",""MALE ANIMALS""]"
708,708,"[""LINE"",""FOOT"",""BOTTOM"",""TAIL"",""TRACK"",""HUNT"",""SMART"",""BRIGHT""]","[""UNITS IN POETRY"",""LOWEST POINT"",""BUTT"",""FOLLOW"",""PURSUE"",""FICTIONAL SPIES"",""INTELLIGENT""]"
709,709,"[""DOC"",""BASHFUL"",""QUEEN"",""KING"",""PRINCE"",""WAYNE"",""BABY"",""SPEECH""]","[""SEVEN DWARFS"",""FEATURED IN “SNOW WHITE”"",""MATTRESS SIZES"",""ROYAL TITLES"",""SUPERHERO LAST NAMES"",""LIL ___ RAPPERS"",""THINGS THAT ARE DELIVERED""]"
710,710,"[""ACTION"",""GO"",""CHANCE"",""CAT"",""COW"",""BUFFALO"",""FISH"",""BIRD""]","[""___ FIGURE"",""MONOPOLY SQUARES"",""FAT ___"",""YOGA POSES"",""BOVIDS"",""SINGLE/PLURAL ANIMALS"",""VERTEBRATES""]"
711,711,"[""CAR"",""BOAT"",""TRAIN"",""RING"",""SAW"",""GEAR"",""HANDLEBAR"",""HORSESHOE""]","[""MEANS OF TRANSPORTATION"",""MODES OF TRANSPORTATION"",""BRIDAL ACCESSORIES"",""HORROR FRANCHISES"",""THINGS WITH TEETH"",""BIKE PARTS"",""MUSTACHES""]"
712,712,"[""DADA"",""POPPY"",""BEET"",""CARROT"",""POUND"",""BISHOP"",""QUEEN"",""KING""]","[""FAMILIAL NICKNAMES"",""THINGS THAT ARE RED"",""VEGETABLES"",""___ CAKE"",""AMERICAN POETS"",""CHESS TERMS"",""MATTRESS SIZES""]"
713,713,"[""GHOST"",""DESERT"",""FOREST"",""MINT"",""MANGO"",""BANANA"",""CANARY"",""RAT""]","[""RUDELY BREAK OFF CONTACT"",""BIOMES"",""SHADES OF GREEN"",""CHUTNEY VARIETIES"",""TROPICAL FRUITS"",""THINGS THAT ARE YELLOW"",""STOOL PIGEON""]"
714,714,"[""BUCK"",""BULL"",""SCALES"",""DOWN"",""LOW"",""SHORT"",""SPARE"",""COPY""]","[""MALE ANIMALS"",""ZODIAC SYMBOLS"",""ANIMAL COVERINGS"",""SYNONYMS FOR SAD"",""INSUFFICIENT"",""SPARSE/LACKING"",""REPLACEMENT""]"
715,715,"[""PACK"",""JAM"",""CLOG"",""PUMP"",""BOOT"",""IRON"",""SPIDER"",""TICK""]","[""CRAM INTO A TIGHT SPACE"",""OBSTRUCT"",""SHOES"",""FOOTWEAR"",""ORIGINAL MONOPOLY TOKENS"",""___ MAN SUPERHEROES"",""ARACHNIDS""]"
716,716,"[""BUN"",""TURNOVER"",""PIE"",""CAKE"",""COVER"",""PAGE"",""LEAF"",""BUD""]","[""BAKED GOODS"",""FOODS WITH CRUSTS"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”"",""PARTS OF A BOOK"",""PAPER IN A BOOK"",""FLOWER PARTS""]"
717,717,"[""CHIFFON"",""SILK"",""HIGH"",""LIT"",""FIRE"",""WATER"",""LEAD"",""DIRECT""]","[""LUXURIOUS FABRICS"",""___ ROAD"",""STONED"",""COOL, IN SLANG"",""CLASSICAL ELEMENTS"",""___ BALLOON"",""HELM""]"
718,718,"[""MOO"",""ROW"",""TIFF"",""ZIP"",""SNAP"",""PUNT"",""TABLE"",""TREE""]","[""HOMOPHONES OF GREEK LETTERS"",""SYNONYMS FOR ARGUMENT"",""FILE EXTENSIONS"",""FASTENING VERBS"",""AMERICAN FOOTBALL ACTIONS"",""POSTPONE"",""THINGS WITH LEAVES""]"
719,719,"[""LAMA"",""CARDINAL"",""BEET"",""ONION"",""POPPY"",""DADA"",""POP"",""LUCKY""]","[""RELIGIOUS FIGURES"",""THINGS THAT ARE RED"",""VEGETABLES"",""BAGEL FLAVORS"",""FAMILIAL NICKNAMES"",""ART MOVEMENTS""]"
720,720,"[""FELIX"",""TOM"",""BULL"",""SCALES"",""DOWN"",""LOW"",""SHORT"",""SPARE""]","[""CARTOON CATS"",""MALE ANIMALS"",""ZODIAC SYMBOLS"",""ANIMAL COVERINGS"",""SYNONYMS FOR SAD"",""INSUFFICIENT"",""SPARSE/LACKING""]"
721,721,"[""ACUTE"",""RIGHT"",""YES"",""RUSH"",""HAPPY"",""BASHFUL"",""QUEEN"",""KING""]","[""___ TRIANGLE"",""RESPONSE TO A CORRECT ANSWER"",""CLASSIC ROCK BANDS"",""___ HOUR"",""SEVEN DWARFS"",""FEATURED IN “SNOW WHITE”"",""MATTRESS SIZES""]"
722,722,"[""HEAVY"",""FEATHER"",""BEAK"",""TRUNK"",""ROOT"",""MEAL"",""MEDIUM"",""CHANNEL""]","[""WEIGHTS IN BOXING"",""BIRD FEATURES"",""ANIMAL NOSES"",""TREE FEATURES"",""SQUARE ___"",""HAPPY ___"",""METHOD""]"
723,723,"[""LEECH"",""VACUUM"",""DUST"",""SPORTS"",""CIGARETTE"",""PENCIL"",""HORSESHOE"",""MOON""]","[""THINGS THAT SUCK"",""CLEANING VERBS"",""___ JACKET"",""“E-” THINGS"",""ASSOCIATED WITH “STUB”"",""MUSTACHES"",""LUCKY CHARMS MARSHMALLOWS""]"
724,724,"[""JOSH"",""KID"",""CUB"",""MALT"",""SHAKE"",""WAVE"",""BITE"",""ZIP""]","[""PLAYFULLY BOTHER"",""BABY ANIMALS"",""COUNTRIES WHEN “A” IS ADDED"",""SODA FOUNTAIN ORDERS"",""GREETING GESTURES"",""SOUND ___"",""PIQUANCY""]"
725,725,"[""BUMPER"",""BALL"",""OUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD""]","[""PINBALL MACHINE COMPONENTS"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS""]"
726,726,"[""FUMBLE"",""SNAP"",""ZIP"",""TIFF"",""ROW"",""PIE"",""CAKE"",""COVER""]","[""AMERICAN FOOTBALL ACTIONS"",""FASTENING VERBS"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT"",""HOMOPHONES OF GREEK LETTERS"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”""]"
727,727,"[""BELT"",""CLOCK"",""WATCH"",""TIE"",""SCARF"",""WOLF"",""PRINCESS"",""MUSHROOM""]","[""WALLOP"",""TIMEKEEPING DEVICES"",""ACCESSORIES"",""NECKWEAR"",""SYNONYMS FOR EAT"",""FAIRY TALE FIGURES"",""SUPER MARIO-RELATED""]"
728,728,"[""CLIP"",""CUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD"",""TOMATO""]","[""MAKE SHORTER"",""EDIT MENU COMMANDS"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS"",""B.L.T. INGREDIENTS""]"
729,729,"[""CHILL"",""LOAF"",""BUN"",""TURNOVER"",""PIE"",""CAKE"",""COVER"",""PAGE""]","[""RELAX"",""UNIT OF BREAD"",""BAKED GOODS"",""FOODS WITH CRUSTS"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”"",""PARTS OF A BOOK""]"
730,730,"[""BREAD"",""TOMATO"",""CUCUMBER"",""CORN"",""BEET"",""CARDINAL"",""JAY"",""BEE""]","[""B.L.T. INGREDIENTS"",""VEGETABLES THAT ARE ALSO FRUITS"",""CROPS"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS""]"
731,731,"[""OMEN"",""MESSAGE"",""MATCH"",""BUMBLE"",""SPOIL"",""ROT"",""BULL"",""SCALES""]","[""INDICATION OF THINGS TO COME"",""DATING APP ACTIONS"",""DATING APPS"",""MESS UP"",""GO BAD"",""BALDERDASH"",""ZODIAC SYMBOLS""]"
732,732,"[""ARM"",""WING"",""FRY"",""WONDER"",""SEA"",""ARE"",""SEE"",""CATCH""]","[""DIVISION"",""APPETIZER UNIT"",""SMALL ___"",""MEMBERS OF A SEPTET"",""LETTER HOMOPHONES"",""WORDS ABBREVIATED WITH LETTERS""]"
733,733,"[""EMU"",""KIWI"",""LEMON"",""DUD"",""BORE"",""SNOOZE"",""HOT"",""HIP""]","[""FLIGHTLESS BIRDS"",""FRUIT"",""FAILURE"",""PARTY POOPER"",""SOMETHING TIRESOME"",""___ BUTTON"",""FASHIONABLE""]"
734,734,"[""ANVIL"",""HAMMER"",""SAW"",""RING"",""TRAIN"",""BOAT"",""CAR"",""BUS""]","[""EAR PARTS"",""TOOLS"",""HORROR FRANCHISES"",""BRIDAL ACCESSORIES"",""MODES OF TRANSPORTATION"",""MEANS OF TRANSPORTATION""]"
735,735,"[""BUS"",""CAR"",""TRAIN"",""RING"",""SAW"",""GEAR"",""HANDLEBAR"",""HORSESHOE""]","[""MOTOR VEHICLES"",""MODES OF TRANSPORTATION"",""BRIDAL ACCESSORIES"",""HORROR FRANCHISES"",""THINGS WITH TEETH"",""BIKE PARTS"",""MUSTACHES""]"
736,736,"[""DROP"",""DASH"",""BOLT"",""ZIP"",""TIFF"",""ROW"",""PIE"",""CAKE""]","[""LITTLE BIT, IN A RECIPE"",""RUN QUICKLY"",""MOVE QUICKLY"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT"",""HOMOPHONES OF GREEK LETTERS"",""DESSERTS""]"
737,737,"[""ROCK"",""WAVE"",""BITE"",""ZIP"",""TIFF"",""ROW"",""PIE"",""CAKE""]","[""MOVE BACK AND FORTH"",""SOUND ___"",""PIQUANCY"",""FILE EXTENSIONS"",""SYNONYMS FOR ARGUMENT"",""HOMOPHONES OF GREEK LETTERS"",""DESSERTS""]"
738,738,"[""FUNNY"",""SOUP"",""GREEN"",""SCARLET"",""LOVE"",""RIGHT"",""YES"",""GENESIS""]","[""WORDS THAT GO WITH “BONE”"",""PEA ___"",""CLUE CHARACTERS"",""___ LETTER"",""___ TRIANGLE"",""RESPONSE TO A CORRECT ANSWER"",""CLASSIC ROCK BANDS""]"
739,739,"[""BEASTIE"",""BEACH"",""HOURGLASS"",""WATCH"",""TIE"",""SCARF"",""WOLF"",""PRINCESS""]","[""___ BOYS"",""WHERE YOU MIGHT FIND SAND"",""TIMEKEEPING DEVICES"",""ACCESSORIES"",""NECKWEAR"",""SYNONYMS FOR EAT"",""FAIRY TALE FIGURES""]"
740,740,"[""CRUCIFIX"",""MIRROR"",""PARROT"",""COPY"",""CUT"",""TRACK"",""HUNT"",""SMART""]","[""ANTI-VAMPIRE"",""IMITATE"",""SYNONYMS FOR IMITATE"",""EDIT MENU COMMANDS"",""SONG"",""PURSUE"",""FICTIONAL SPIES""]"
741,741,"[""FINK"",""CANARY"",""BANANA"",""MANGO"",""MINT"",""FOREST"",""DESERT"",""GHOST""]","[""STOOL PIGEON"",""THINGS THAT ARE YELLOW"",""TROPICAL FRUITS"",""CHUTNEY VARIETIES"",""SHADES OF GREEN"",""BIOMES"",""RUDELY BREAK OFF CONTACT""]"
742,742,"[""POM"",""BOO"",""SUGAR"",""ICE"",""GREEN"",""SCARLET"",""LOVE"",""RIGHT""]","[""___-___"",""TERMS OF ENDEARMENT"",""CUBE-SHAPED"",""___LAND"",""CLUE CHARACTERS"",""___ LETTER"",""___ TRIANGLE""]"
743,743,"[""FLUE"",""LOG"",""MATCH"",""BUMBLE"",""SPOIL"",""ROT"",""BULL"",""SCALES""]","[""FOUND AROUND A FIREPLACE"",""USED IN BUILDING A FIRE"",""DATING APPS"",""MESS UP"",""GO BAD"",""BALDERDASH"",""ZODIAC SYMBOLS""]"
744,744,"[""CONSTRUCTION"",""PAPER"",""ROCK"",""MET"",""CUB"",""KID"",""JOSH"",""ROB""]","[""___ CRANE"",""ROCK PAPER SCISSORS"",""___ OPERA"",""M.L.B. TEAM MEMBER"",""BABY ANIMALS"",""PLAYFULLY BOTHER"",""NICKNAMES THAT ARE VERBS""]"
745,745,"[""BUD"",""CHUM"",""FLY"",""MOTH"",""WOLF"",""SCARF"",""TIE"",""LINK""]","[""FRIEND"",""FISHING TERMS"",""WINGED INSECTS"",""NOCTURNAL ANIMALS"",""SYNONYMS FOR EAT"",""NECKWEAR"",""CONNECTION""]"
746,746,"[""CACTUS"",""BOOK"",""SPLIT"",""GLASS"",""PAPER"",""ROCK"",""MET"",""HARRY""]","[""THINGS WITH SPINES"",""DEPART QUICKLY"",""M. NIGHT SHYAMALAN MOVIES"",""RECYCLING CATEGORIES"",""ROCK PAPER SCISSORS"",""___ OPERA"",""WHEN HARRY MET SALLY""]"
747,747,"[""FLOYD"",""DAY"",""ERA"",""ALL"",""LOVE"",""RIGHT"",""YES"",""GENESIS""]","[""BAND NAMES MINUS COLORS"",""PERIOD"",""DETERGENTS"",""TENNIS SCORING TERMS"",""___ TRIANGLE"",""RESPONSE TO A CORRECT ANSWER"",""CLASSIC ROCK BANDS""]"
748,748,"[""BOOM"",""LENS"",""IRIS"",""CONE"",""PYRAMID"",""WHEEL"",""HANDLEBAR"",""HORSESHOE""]","[""FILMMAKING EQUIPMENT"",""EYE PARTS"",""PARTS OF THE EYE"",""3-D SHAPES"",""CLASSIC GAME SHOWS, FAMILIARLY"",""BIKE PARTS"",""MUSTACHES""]"
749,749,"[""MAGNUM"",""MONK"",""HARP"",""BASS"",""DESERT"",""FOREST"",""MINT"",""MANGO""]","[""TITULAR FICTIONAL DETECTIVES"",""SEALS"",""MUSICAL INSTRUMENTS"",""HETERONYMS"",""BIOMES"",""SHADES OF GREEN"",""CHUTNEY VARIETIES""]"
750,750,"[""POINT"",""LINE"",""METER"",""FOOT"",""BOTTOM"",""TAIL"",""TRACK"",""HUNT""]","[""BASIC GEOMETRIC OBJECTS"",""POETRY TERMS"",""UNITS IN POETRY"",""LOWEST POINT"",""BUTT"",""FOLLOW"",""PURSUE""]"
751,751,"[""ALLEY"",""BALL"",""OUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD""]","[""BOWLING"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS""]"
752,752,"[""DEAD"",""DATE"",""LEMON"",""DUD"",""BORE"",""SNOOZE"",""HOT"",""HIP""]","[""PLAY ___"",""FRUIT"",""FAILURE"",""PARTY POOPER"",""SOMETHING TIRESOME"",""___ BUTTON"",""FASHIONABLE""]"
753,753,"[""RHYTHM"",""BRASS"",""CHEEK"",""EYE"",""CROOK"",""SHARK"",""PERCH"",""LAND""]","[""MUSICAL SECTIONS"",""SHAMELESS BOLDNESS"",""FACIAL FEATURES"",""EGYPTIAN SYMBOLS"",""SWINDLER"",""FISH"",""COME DOWN TO REST""]"
754,754,"[""COULD"",""CAN"",""HEAD"",""STALK"",""HUNT"",""SMART"",""BRIGHT"",""FLASHY""]","[""CONDITIONAL WORDS"",""SLANG FOR TOILET"",""UNITS OF VEGETABLES"",""PURSUE"",""FICTIONAL SPIES"",""INTELLIGENT""]"
755,755,"[""BLOCK"",""MATCH"",""BUMBLE"",""SPOIL"",""ROT"",""BULL"",""SCALES"",""DOWN""]","[""DATING APP ACTIONS"",""DATING APPS"",""MESS UP"",""GO BAD"",""BALDERDASH"",""ZODIAC SYMBOLS"",""ANIMAL COVERINGS""]"
756,756,"[""BABY"",""EYE"",""CHEEK"",""BRASS"",""WIND"",""DRAGON"",""RABBIT"",""POT""]","[""___ TOOTH"",""FACIAL FEATURES"",""SHAMELESS BOLDNESS"",""MUSICAL SECTIONS"",""MAHJONG TILES"",""CHINESE ZODIAC ANIMALS"",""JACK ___""]"
757,757,"[""COLONY"",""SCHOOL"",""LIGHT"",""TORCH"",""CROWN"",""DOME"",""BOWL"",""DISH""]","[""ANIMAL GROUPS"",""___ YEAR"",""IGNITE"",""STATUE OF LIBERTY FEATURES"",""SLANG FOR HEAD"",""SPORTS VENUES""]"
758,758,"[""KIND"",""TYPE"",""POD"",""PAD"",""JOINT"",""COMMON"",""FUTURE"",""PRESENT""]","[""ILK"",""___CAST"",""WORDS WITH “i”"",""SLANG FOR HOME"",""SHARED"",""RAPPERS"",""GRAMMAR TENSE TERMS""]"
759,759,"[""CURE"",""CAN"",""HEAD"",""STALK"",""HUNT"",""SMART"",""BRIGHT"",""FLASHY""]","[""WAYS TO PRESERVE FOOD"",""SLANG FOR TOILET"",""UNITS OF VEGETABLES"",""PURSUE"",""FICTIONAL SPIES"",""INTELLIGENT""]"
760,760,"[""DEMO"",""RED"",""CUB"",""KID"",""JOSH"",""ROB"",""PINCH"",""TAP""]","[""___ TAPE"",""M.L.B. TEAM MEMBER"",""BABY ANIMALS"",""PLAYFULLY BOTHER"",""NICKNAMES THAT ARE VERBS"",""THIEVE"",""TOUCHSCREEN GESTURES""]"
761,761,"[""CLOWN"",""ANGEL"",""AIRPLANE"",""THEM"",""US"",""OK"",""LA"",""DO""]","[""CLASSIC HALLOWEEN COSTUMES"",""THINGS WITH WINGS"",""MOVIES WITH “!”"",""PRONOUNS"",""MAGAZINES"",""STATE ABBREVIATIONS""]"
762,762,"[""JEAN"",""SHORT"",""LOW"",""DOWN"",""SCALES"",""BULL"",""JACK"",""NOTHING""]","[""LEGWEAR, IN THE SINGULAR"",""INSUFFICIENT"",""SYNONYMS FOR SAD"",""ANIMAL COVERINGS"",""ZODIAC SYMBOLS"",""MALE ANIMALS"",""SLANG FOR ZERO""]"
763,763,"[""COUNT"",""SUM"",""MAROON"",""DESERT"",""FOREST"",""MINT"",""MANGO"",""BANANA""]","[""WHOLE AMOUNT"",""BAND NAMES MINUS NUMBERS"",""LEAVE HIGH AND DRY"",""BIOMES"",""SHADES OF GREEN"",""CHUTNEY VARIETIES"",""TROPICAL FRUITS""]"
764,764,"[""SALSA"",""HUSTLE"",""CON"",""FOOL"",""MARK"",""JOB"",""POLISH"",""FILE""]","[""DANCES"",""SCAM"",""DECEIVE"",""TARGET OF A SCHEME"",""BIBLE BOOKS"",""WORDS WITH TWO PRONUNCIATIONS"",""MANICURE STEPS""]"
765,765,"[""EGGSHELL"",""CREAM"",""STRING"",""TRAIN"",""RING"",""SAW"",""GEAR"",""HANDLEBAR""]","[""OFF-WHITE SHADES"",""___ CHEESE"",""SEQUENCE"",""BRIDAL ACCESSORIES"",""HORROR FRANCHISES"",""THINGS WITH TEETH"",""BIKE PARTS""]"
766,766,"[""AMUSE"",""PLEASE"",""LORD"",""MERCY"",""STOP"",""CLOG"",""PUMP"",""BOOT""]","[""MAKE HAPPY"",""\""GIVE ME A BREAK!\"""",""“GRACIOUS ME!”"",""“I GIVE!”"",""OBSTRUCT"",""SHOES"",""FOOTWEAR""]"
767,767,"[""ALLEN"",""MONKEY"",""PARROT"",""COPY"",""CUT"",""TRACK"",""HUNT"",""SMART""]","[""KINDS OF WRENCHES"",""SEEN IN “ALADDIN”"",""SYNONYMS FOR IMITATE"",""EDIT MENU COMMANDS"",""SONG"",""PURSUE"",""FICTIONAL SPIES""]"
768,768,"[""MEAN"",""RANGE"",""SINK"",""DROP"",""DASH"",""BOLT"",""ZIP"",""TIFF""]","[""DATA SET DATA"",""FOUND IN A KITCHEN"",""DECLINE"",""LITTLE BIT, IN A RECIPE"",""RUN QUICKLY"",""MOVE QUICKLY"",""FILE EXTENSIONS""]"
769,769,"[""DRYER"",""IRON"",""SPIDER"",""TICK"",""X"",""PECK"",""STONE"",""FORD""]","[""SEEN IN A LAUNDRY ROOM"",""___ MAN SUPERHEROES"",""ARACHNIDS"",""SELECT, AS A BOX ON A FORM"",""KISS"",""IMPERIAL UNITS"",""BEST DIRECTOR OSCAR WINNERS""]"
770,770,"[""GRAVY"",""PIE"",""CAKE"",""COVER"",""PAGE"",""LEAF"",""BUD"",""MATE""]","[""THANKSGIVING FOOD"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”"",""PARTS OF A BOOK"",""PAPER IN A BOOK"",""FLOWER PARTS"",""FRIEND""]"
771,771,"[""DRIB"",""TANG"",""BITE"",""WAVE"",""SHAKE"",""MALT"",""CUB"",""KID""]","[""ANIMALS BACKWARD"",""PIQUANCY"",""SOUND ___"",""GREETING GESTURES"",""SODA FOUNTAIN ORDERS"",""COUNTRIES WHEN “A” IS ADDED"",""BABY ANIMALS""]"
772,772,"[""HILL"",""MOUNTAIN"",""COW"",""BUFFALO"",""FISH"",""BIRD"",""AIRPLANE"",""MOTHER""]","[""LAND FORMATIONS"",""YOGA POSES"",""BOVIDS"",""SINGLE/PLURAL ANIMALS"",""VERTEBRATES"",""THINGS WITH WINGS"",""MOVIES WITH “!”""]"
773,773,"[""ERM"",""WELL"",""TAP"",""PINCH"",""DASH"",""BOLT"",""ZIP"",""TIFF""]","[""EXPRESSIONS OF HESITATION"",""WATER SOURCES"",""TOUCHSCREEN GESTURES"",""LITTLE BIT, IN A RECIPE"",""RUN QUICKLY"",""MOVE QUICKLY"",""FILE EXTENSIONS""]"
774,774,"[""CENTER"",""TACKLE"",""ROD"",""STICK"",""GO"",""CHANCE"",""CAT"",""MOUNTAIN""]","[""AMERICAN FOOTBALL POSITIONS"",""FISHING GEAR"",""LONG, SKINNY OBJECTS"",""___ FIGURE"",""MONOPOLY SQUARES"",""FAT ___"",""YOGA POSES""]"
775,775,"[""FINAL"",""BAR"",""BELL"",""GHOST"",""SPIRIT"",""STEAM"",""STATE"",""CATFISH""]","[""KINDS OF EXAMS"",""SLOT MACHINE SYMBOLS"",""___ PEPPER"",""APPARITIONS"",""ENERGY"",""HEAD OF ___"",""MTV SHOWS""]"
776,776,"[""NUMBER"",""CUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD"",""TOMATO""]","[""SONG"",""EDIT MENU COMMANDS"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS"",""B.L.T. INGREDIENTS""]"
777,777,"[""ADD"",""DIVIDE"",""SPLIT"",""BOOK"",""TUBE"",""STRAW"",""LID"",""COVER""]","[""ARITHMETIC OPERATIONS"",""SEPARATE"",""DEPART QUICKLY"",""SOCIAL MEDIA APP ENDINGS"",""HOLLOW CYLINDERS"",""COFFEE COUNTER ITEMS"",""COVERINGS""]"
778,778,"[""DENMARK"",""POLAND"",""TURKEY"",""PIE"",""CAKE"",""COVER"",""PAGE"",""LEAF""]","[""EUROPEAN COUNTRIES"",""COUNTRIES WITH RED AND WHITE FLAGS"",""THANKSGIVING FOOD"",""DESSERTS"",""“C” WORDS FOR “ENVELOP”"",""PARTS OF A BOOK"",""PAPER IN A BOOK""]"
779,779,"[""BEER"",""BULB"",""HEAD"",""CAN"",""GO"",""CHANCE"",""CAT"",""MOUNTAIN""]","[""LIGHT ___"",""UNITS OF VEGETABLES"",""SLANG FOR TOILET"",""DANCES WHEN DOUBLED"",""MONOPOLY SQUARES"",""FAT ___"",""YOGA POSES""]"
780,780,"[""AUTO"",""DEMO"",""RED"",""CUB"",""KID"",""JOSH"",""ROB"",""PINCH""]","[""PREFIXES WITH -CRACY"",""___ TAPE"",""M.L.B. TEAM MEMBER"",""BABY ANIMALS"",""PLAYFULLY BOTHER"",""NICKNAMES THAT ARE VERBS"",""THIEVE""]"
